Query,Assessment_url
"Looking to hire mid-level professionals who are proficient in Python, SQL and Java Script. Need an assessment package that can test all skills with max duration of 60 minutes.",https://www.shl.com/solutions/products/product-catalog/view/python-new/
"Looking to hire mid-level professionals who are proficient in Python, SQL and Java Script. Need an assessment package that can test all skills with max duration of 60 minutes.",https://www.shl.com/solutions/products/product-catalog/view/python-new/
"Looking to hire mid-level professionals who are proficient in Python, SQL and Java Script. Need an assessment package that can test all skills with max duration of 60 minutes.",https://www.shl.com/solutions/products/product-catalog/view/python-new/
"Looking to hire mid-level professionals who are proficient in Python, SQL and Java Script. Need an assessment package that can test all skills with max duration of 60 minutes.",https://www.shl.com/solutions/products/product-catalog/view/python-new/
"Looking to hire mid-level professionals who are proficient in Python, SQL and Java Script. Need an assessment package that can test all skills with max duration of 60 minutes.",https://www.shl.com/solutions/products/product-catalog/view/python-new/
"Looking to hire mid-level professionals who are proficient in Python, SQL and Java Script. Need an assessment package that can test all skills with max duration of 60 minutes.",https://www.shl.com/solutions/products/product-catalog/view/python-new/
"Looking to hire mid-level professionals who are proficient in Python, SQL and Java Script. Need an assessment package that can test all skills with max duration of 60 minutes.",https://www.shl.com/solutions/products/product-catalog/view/python-new/
"Looking to hire mid-level professionals who are proficient in Python, SQL and Java Script. Need an assessment package that can test all skills with max duration of 60 minutes.",https://www.shl.com/solutions/products/product-catalog/view/python-new/
"Looking to hire mid-level professionals who are proficient in Python, SQL and Java Script. Need an assessment package that can test all skills with max duration of 60 minutes.",https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/
"Looking to hire mid-level professionals who are proficient in Python, SQL and Java Script. Need an assessment package that can test all skills with max duration of 60 minutes.",https://www.shl.com/solutions/products/product-catalog/view/python-new/
"I am hiring for an analyst and wants applications to screen using Cognitive and personality tests, what options are available within 45 mins.",https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/
"I am hiring for an analyst and wants applications to screen using Cognitive and personality tests, what options are available within 45 mins.",https://www.shl.com/solutions/products/product-catalog/view/occupational-personality-questionnaire-opq32r/
"I am hiring for an analyst and wants applications to screen using Cognitive and personality tests, what options are available within 45 mins.",https://www.shl.com/solutions/products/product-catalog/view/verify-verbal-ability-next-generation/
"I am hiring for an analyst and wants applications to screen using Cognitive and personality tests, what options are available within 45 mins.",https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/
"I am hiring for an analyst and wants applications to screen using Cognitive and personality tests, what options are available within 45 mins.",https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/
"I am hiring for an analyst and wants applications to screen using Cognitive and personality tests, what options are available within 45 mins.",https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/
"I am hiring for an analyst and wants applications to screen using Cognitive and personality tests, what options are available within 45 mins.",https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/
"I am hiring for an analyst and wants applications to screen using Cognitive and personality tests, what options are available within 45 mins.",https://www.shl.com/solutions/products/product-catalog/view/occupational-personality-questionnaire-opq32r/
"I am hiring for an analyst and wants applications to screen using Cognitive and personality tests, what options are available within 45 mins.",https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/
"I am hiring for an analyst and wants applications to screen using Cognitive and personality tests, what options are available within 45 mins.",https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/
"I have a JD Job Description

 People Science.
People Answers !

Do you love contributing to commercial growth and success? Join as a Presales Specialist!
In this role, you’ll support the Presales function...",https://www.shl.com/solutions/products/product-catalog/view/marketing-new/
"I have a JD Job Description

 People Science.
People Answers !

Do you love contributing to commercial growth and success? Join as a Presales Specialist!
In this role, you’ll support the Presales function...",https://www.shl.com/solutions/products/product-catalog/view/marketing-new/
"I have a JD Job Description

 People Science.
People Answers !

Do you love contributing to commercial growth and success? Join as a Presales Specialist!
In this role, you’ll support the Presales function...",https://www.shl.com/solutions/products/product-catalog/view/marketing-new/
"I have a JD Job Description

 People Science.
People Answers !

Do you love contributing to commercial growth and success? Join as a Presales Specialist!
In this role, you’ll support the Presales function...",https://www.shl.com/solutions/products/product-catalog/view/marketing-new/
"I have a JD Job Description

 People Science.
People Answers !

Do you love contributing to commercial growth and success? Join as a Presales Specialist!
In this role, you’ll support the Presales function...",https://www.shl.com/solutions/products/product-catalog/view/opq-leadership-report/
"I have a JD Job Description

 People Science.
People Answers !

Do you love contributing to commercial growth and success? Join as a Presales Specialist!
In this role, you’ll support the Presales function...",https://www.shl.com/solutions/products/product-catalog/view/marketing-new/
"I have a JD Job Description

 People Science.
People Answers !

Do you love contributing to commercial growth and success? Join as a Presales Specialist!
In this role, you’ll support the Presales function...",https://www.shl.com/solutions/products/product-catalog/view/marketing-new/
"I have a JD Job Description

 People Science.
People Answers !

Do you love contributing to commercial growth and success? Join as a Presales Specialist!
In this role, you’ll support the Presales function...",https://www.shl.com/solutions/products/product-catalog/view/marketing-new/
"I have a JD Job Description

 People Science.
People Answers !

Do you love contributing to commercial growth and success? Join as a Presales Specialist!
In this role, you’ll support the Presales function...",https://www.shl.com/solutions/products/product-catalog/view/marketing-new/
"I have a JD Job Description

 People Science.
People Answers !

Do you love contributing to commercial growth and success? Join as a Presales Specialist!
In this role, you’ll support the Presales function...",https://www.shl.com/solutions/products/product-catalog/view/marketing-new/
"I am new looking for new graduates in my sales team, suggest an 30 min long assessment",https://www.shl.com/products/product-catalog/view/global-skills-development-report/
"I am new looking for new graduates in my sales team, suggest an 30 min long assessment",https://www.shl.com/products/product-catalog/view/global-skills-development-report/
"I am new looking for new graduates in my sales team, suggest an 30 min long assessment",https://www.shl.com/products/product-catalog/view/global-skills-development-report/
"I am new looking for new graduates in my sales team, suggest an 30 min long assessment",https://www.shl.com/products/product-catalog/view/global-skills-development-report/
"I am new looking for new graduates in my sales team, suggest an 30 min long assessment",https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/
"I am new looking for new graduates in my sales team, suggest an 30 min long assessment",https://www.shl.com/products/product-catalog/view/global-skills-development-report/
"I am new looking for new graduates in my sales team, suggest an 30 min long assessment",https://www.shl.com/products/product-catalog/view/global-skills-development-report/
"I am new looking for new graduates in my sales team, suggest an 30 min long assessment",https://www.shl.com/products/product-catalog/view/global-skills-development-report/
"I am new looking for new graduates in my sales team, suggest an 30 min long assessment",https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/
"I am new looking for new graduates in my sales team, suggest an 30 min long assessment",https://www.shl.com/products/product-catalog/view/global-skills-development-report/
"For Marketing - Content Writer Position
Department: Marketing
Location: Gurugram
About Company
ShopClues.com is India's leading e-commerce platform...",https://www.shl.com/solutions/products/product-catalog/view/marketing-new/
"For Marketing - Content Writer Position
Department: Marketing
Location: Gurugram
About Company
ShopClues.com is India's leading e-commerce platform...",https://www.shl.com/solutions/products/product-catalog/view/marketing-new/
"For Marketing - Content Writer Position
Department: Marketing
Location: Gurugram
About Company
ShopClues.com is India's leading e-commerce platform...",https://www.shl.com/solutions/products/product-catalog/view/marketing-new/
"For Marketing - Content Writer Position
Department: Marketing
Location: Gurugram
About Company
ShopClues.com is India's leading e-commerce platform...",https://www.shl.com/solutions/products/product-catalog/view/marketing-new/
"For Marketing - Content Writer Position
Department: Marketing
Location: Gurugram
About Company
ShopClues.com is India's leading e-commerce platform...",https://www.shl.com/solutions/products/product-catalog/view/marketing-new/
"For Marketing - Content Writer Position
Department: Marketing
Location: Gurugram
About Company
ShopClues.com is India's leading e-commerce platform...",https://www.shl.com/solutions/products/product-catalog/view/marketing-new/
"For Marketing - Content Writer Position
Department: Marketing
Location: Gurugram
About Company
ShopClues.com is India's leading e-commerce platform...",https://www.shl.com/solutions/products/product-catalog/view/marketing-new/
"For Marketing - Content Writer Position
Department: Marketing
Location: Gurugram
About Company
ShopClues.com is India's leading e-commerce platform...",https://www.shl.com/solutions/products/product-catalog/view/marketing-new/
"For Marketing - Content Writer Position
Department: Marketing
Location: Gurugram
About Company
ShopClues.com is India's leading e-commerce platform...",https://www.shl.com/solutions/products/product-catalog/view/marketing-new/
"For Marketing - Content Writer Position
Department: Marketing
Location: Gurugram
About Company
ShopClues.com is India's leading e-commerce platform...",https://www.shl.com/solutions/products/product-catalog/view/marketing-new/
"I want to hire a product manager with 3-4 years of work experience and expertise in SDLC, Jira and Confluence",https://www.shl.com/products/product-catalog/view/agency-manager-solution/
"I want to hire a product manager with 3-4 years of work experience and expertise in SDLC, Jira and Confluence",https://www.shl.com/products/product-catalog/view/agency-manager-solution/
"I want to hire a product manager with 3-4 years of work experience and expertise in SDLC, Jira and Confluence",https://www.shl.com/products/product-catalog/view/agency-manager-solution/
"I want to hire a product manager with 3-4 years of work experience and expertise in SDLC, Jira and Confluence",https://www.shl.com/products/product-catalog/view/agency-manager-solution/
"I want to hire a product manager with 3-4 years of work experience and expertise in SDLC, Jira and Confluence",https://www.shl.com/products/product-catalog/view/agency-manager-solution/
"I want to hire a product manager with 3-4 years of work experience and expertise in SDLC, Jira and Confluence",https://www.shl.com/products/product-catalog/view/agency-manager-solution/
"I want to hire a product manager with 3-4 years of work experience and expertise in SDLC, Jira and Confluence",https://www.shl.com/products/product-catalog/view/agency-manager-solution/
"I want to hire a product manager with 3-4 years of work experience and expertise in SDLC, Jira and Confluence",https://www.shl.com/products/product-catalog/view/agency-manager-solution/
"I want to hire a product manager with 3-4 years of work experience and expertise in SDLC, Jira and Confluence",https://www.shl.com/products/product-catalog/view/agency-manager-solution/
"I want to hire a product manager with 3-4 years of work experience and expertise in SDLC, Jira and Confluence",https://www.shl.com/products/product-catalog/view/agency-manager-solution/
"Suggest me an assessment for the JD below Job Description
 Find purpose in each day while contributing to a workplace revolution!
SHL, People Science. People Answers.
Are you a driven business professional...",https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/
"Suggest me an assessment for the JD below Job Description
 Find purpose in each day while contributing to a workplace revolution!
SHL, People Science. People Answers.
Are you a driven business professional...",https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/
"Suggest me an assessment for the JD below Job Description
 Find purpose in each day while contributing to a workplace revolution!
SHL, People Science. People Answers.
Are you a driven business professional...",https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/
"Suggest me an assessment for the JD below Job Description
 Find purpose in each day while contributing to a workplace revolution!
SHL, People Science. People Answers.
Are you a driven business professional...",https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/
"Suggest me an assessment for the JD below Job Description
 Find purpose in each day while contributing to a workplace revolution!
SHL, People Science. People Answers.
Are you a driven business professional...",https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/
"Suggest me an assessment for the JD below Job Description
 Find purpose in each day while contributing to a workplace revolution!
SHL, People Science. People Answers.
Are you a driven business professional...",https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/
"Suggest me an assessment for the JD below Job Description
 Find purpose in each day while contributing to a workplace revolution!
SHL, People Science. People Answers.
Are you a driven business professional...",https://www.shl.com/solutions/products/product-catalog/view/opq-leadership-report/
"Suggest me an assessment for the JD below Job Description
 Find purpose in each day while contributing to a workplace revolution!
SHL, People Science. People Answers.
Are you a driven business professional...",https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/
"Suggest me an assessment for the JD below Job Description
 Find purpose in each day while contributing to a workplace revolution!
SHL, People Science. People Answers.
Are you a driven business professional...",https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/
"Suggest me an assessment for the JD below Job Description
 Find purpose in each day while contributing to a workplace revolution!
SHL, People Science. People Answers.
Are you a driven business professional...",https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/
I want to hire Customer support executives who are expert in English communication.,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/
I want to hire Customer support executives who are expert in English communication.,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/
I want to hire Customer support executives who are expert in English communication.,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/
I want to hire Customer support executives who are expert in English communication.,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/
I want to hire Customer support executives who are expert in English communication.,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/
I want to hire Customer support executives who are expert in English communication.,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/
I want to hire Customer support executives who are expert in English communication.,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/
I want to hire Customer support executives who are expert in English communication.,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/
I want to hire Customer support executives who are expert in English communication.,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/
I want to hire Customer support executives who are expert in English communication.,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/
